Group,Day,Time,Discipline,Classroom,Type,Lecturer,Program
AIB-2501,Monday,08:00-08:50,"Presentation, Communication & Negotiation",online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2501,Monday,09:00-09:50,"Presentation, Communication & Negotiation",online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2501,Monday,10:00-10:50,Business Project (Simulation),C1.3.264L,lecture,Borashova Sholpan,Schedules_1 course_3 trim
AIB-2501,Monday,11:00-11:50,Business Project (Simulation),C1.3.264L,lecture,Borashova Sholpan,Schedules_1 course_3 trim
AIB-2501,Monday,12:00-12:50,"Governance, Risk and Compliance",C1.3.322,practice,Symbat Ashimkhanova,Schedules_1 course_3 trim
AIB-2501,Monday,13:05-13:55,"Governance, Risk and Compliance",C1.3.322,practice,Symbat Ashimkhanova,Schedules_1 course_3 trim
AIB-2501,Wednesday,10:00-10:50,Business Project (Simulation),C1.2.226P,practice,Aiganym Jaras,Schedules_1 course_3 trim
AIB-2501,Wednesday,11:00-11:50,"Governance, Risk and Compliance",C1.3.322,practice,Symbat Ashimkhanova,Schedules_1 course_3 trim
AIB-2501,Wednesday,12:00-12:50,History of Kazakhstan (State Exam),C1.2.227P,practice,Azimbayeva Gulzhan,Schedules_1 course_3 trim
AIB-2501,Wednesday,13:05-13:55,History of Kazakhstan (State Exam),C1.2.227P,practice,Azimbayeva Gulzhan,Schedules_1 course_3 trim
AIB-2501,Wednesday,16:00-16:50,History of Kazakhstan (State Exam),online,practice,Azimbayeva Gulzhan,Schedules_1 course_3 trim
AIB-2501,Thursday,08:00-08:50,"Presentation, Communication & Negotiation",C1.1.226P,practice,Madina Mukaliyeva,Schedules_1 course_3 trim
AIB-2501,Thursday,09:00-09:50,Business Project (Simulation),C1.3.244,practice,Aiganym Jaras,Schedules_1 course_3 trim
AIB-2501,Thursday,10:00-10:50,Business Project (Simulation),C1.3.244,practice,Aiganym Jaras,Schedules_1 course_3 trim
AIB-2501,Thursday,12:00-12:50,Political Science,C1.1.253P,practice,Saltanat Zhalmagambetova,Schedules_1 course_3 trim
AIB-2501,Friday,13:05-13:55,History of Kazakhstan (State Exam),online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2501,Friday,14:00-14:50,History of Kazakhstan (State Exam),online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2501,Friday,15:00-15:50,Political Science,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2501,Saturday,08:00-08:50,"Governance, Risk and Compliance",C1.1.224P,lecture,Zhuldyz Davletbayeva,Schedules_1 course_3 trim
AIB-2501,Saturday,08:00-08:50,Technology & Innovation Management,C1.2.251L,lecture,Armiyash Nurmagambetova,Schedules_1 course_3 trim
AIB-2501,Saturday,09:00-09:50,"Governance, Risk and Compliance",C1.1.224P,lecture,Zhuldyz Davletbayeva,Schedules_1 course_3 trim
AIB-2501,Saturday,09:00-09:50,Technology & Innovation Management,C1.2.251L,lecture,Armiyash Nurmagambetova,Schedules_1 course_3 trim
AIB-2501,Saturday,10:00-10:50,Technology & Innovation Management,C1.3.319,practice,Armiyash Nurmagambetova,Schedules_1 course_3 trim
AIB-2501,Saturday,11:00-11:50,Technology & Innovation Management,C1.3.319,practice,Armiyash Nurmagambetova,Schedules_1 course_3 trim
AIB-2501,Saturday,12:00-12:50,Technology & Innovation Management,C1.3.319,practice,Armiyash Nurmagambetova,Schedules_1 course_3 trim
AIB-2501,Saturday,13:05-13:55,"Presentation, Communication & Negotiation",C1.1.225P,practice,Madina Mukaliyeva,Schedules_1 course_3 trim
AIB-2501,Saturday,14:00-14:50,"Presentation, Communication & Negotiation",C1.1.225P,practice,Madina Mukaliyeva,Schedules_1 course_3 trim
AIB-2502,Monday,08:00-08:50,"Presentation, Communication & Negotiation",online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2502,Monday,09:00-09:50,"Presentation, Communication & Negotiation",online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2502,Monday,10:00-10:50,Business Project (Simulation),C1.3.264L,lecture,Borashova Sholpan,Schedules_1 course_3 trim
AIB-2502,Monday,11:00-11:50,Business Project (Simulation),C1.3.264L,lecture,Borashova Sholpan,Schedules_1 course_3 trim
AIB-2502,Monday,12:00-12:50,"Governance, Risk and Compliance",C1.3.322,practice,Symbat Ashimkhanova,Schedules_1 course_3 trim
AIB-2502,Monday,13:05-13:55,"Governance, Risk and Compliance",C1.3.322,practice,Symbat Ashimkhanova,Schedules_1 course_3 trim
AIB-2502,Wednesday,11:00-11:50,"Governance, Risk and Compliance",C1.3.322,practice,Symbat Ashimkhanova,Schedules_1 course_3 trim
AIB-2502,Wednesday,12:00-12:50,Business Project (Simulation),C1.1.366P,practice,Zhanna Zhassulankyzy,Schedules_1 course_3 trim
AIB-2502,Wednesday,13:05-13:55,Political Science,C1.1.253P,practice,Saltanat Zhalmagambetova,Schedules_1 course_3 trim
AIB-2502,Wednesday,16:00-16:50,History of Kazakhstan (State Exam),online,practice,Azimbayeva Gulzhan,Schedules_1 course_3 trim
AIB-2502,Thursday,08:00-08:50,History of Kazakhstan (State Exam),C1.2.227P,practice,Azimbayeva Gulzhan,Schedules_1 course_3 trim
AIB-2502,Thursday,09:00-09:50,History of Kazakhstan (State Exam),C1.2.227P,practice,Azimbayeva Gulzhan,Schedules_1 course_3 trim
AIB-2502,Thursday,10:00-10:50,Business Project (Simulation),C1.2.226P,practice,Zhanna Zhassulankyzy,Schedules_1 course_3 trim
AIB-2502,Thursday,11:00-11:50,Business Project (Simulation),C1.2.226P,practice,Zhanna Zhassulankyzy,Schedules_1 course_3 trim
AIB-2502,Thursday,13:05-13:55,"Presentation, Communication & Negotiation",C1.1.226P,practice,Madina Mukaliyeva,Schedules_1 course_3 trim
AIB-2502,Friday,13:05-13:55,History of Kazakhstan (State Exam),online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2502,Friday,14:00-14:50,History of Kazakhstan (State Exam),online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2502,Friday,15:00-15:50,Political Science,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2502,Saturday,08:00-08:50,"Governance, Risk and Compliance",C1.1.224P,lecture,Zhuldyz Davletbayeva,Schedules_1 course_3 trim
AIB-2502,Saturday,08:00-08:50,Technology & Innovation Management,C1.2.251L,lecture,Armiyash Nurmagambetova,Schedules_1 course_3 trim
AIB-2502,Saturday,09:00-09:50,"Governance, Risk and Compliance",C1.1.224P,lecture,Zhuldyz Davletbayeva,Schedules_1 course_3 trim
AIB-2502,Saturday,09:00-09:50,Technology & Innovation Management,C1.2.251L,lecture,Armiyash Nurmagambetova,Schedules_1 course_3 trim
AIB-2502,Saturday,10:00-10:50,"Presentation, Communication & Negotiation",C1.1.225P,practice,Madina Mukaliyeva,Schedules_1 course_3 trim
AIB-2502,Saturday,11:00-11:50,"Presentation, Communication & Negotiation",C1.1.225P,practice,Madina Mukaliyeva,Schedules_1 course_3 trim
AIB-2502,Saturday,12:00-12:50,Technology & Innovation Management,C1.1.347P,practice,Muratov Sayat,Schedules_1 course_3 trim
AIB-2502,Saturday,13:05-13:55,Technology & Innovation Management,C1.1.347P,practice,Muratov Sayat,Schedules_1 course_3 trim
AIB-2502,Saturday,14:00-14:50,Technology & Innovation Management,C1.1.347P,practice,Muratov Sayat,Schedules_1 course_3 trim
AIB-2503,Monday,08:00-08:50,"Presentation, Communication & Negotiation",online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2503,Monday,09:00-09:50,"Presentation, Communication & Negotiation",online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2503,Monday,10:00-10:50,Business Project (Simulation),C1.3.264L,lecture,Borashova Sholpan,Schedules_1 course_3 trim
AIB-2503,Monday,11:00-11:50,Business Project (Simulation),C1.3.264L,lecture,Borashova Sholpan,Schedules_1 course_3 trim
AIB-2503,Monday,12:00-12:50,"Governance, Risk and Compliance",C1.3.322,practice,Symbat Ashimkhanova,Schedules_1 course_3 trim
AIB-2503,Monday,13:05-13:55,"Governance, Risk and Compliance",C1.3.322,practice,Symbat Ashimkhanova,Schedules_1 course_3 trim
AIB-2503,Wednesday,09:00-09:50,Business Project (Simulation),C1.1.255P,practice,Zhanna Zhassulankyzy,Schedules_1 course_3 trim
AIB-2503,Wednesday,10:00-10:50,Business Project (Simulation),C1.1.366P,practice,Zhanna Zhassulankyzy,Schedules_1 course_3 trim
AIB-2503,Wednesday,11:00-11:50,"Governance, Risk and Compliance",C1.3.322,practice,Symbat Ashimkhanova,Schedules_1 course_3 trim
AIB-2503,Wednesday,16:00-16:50,History of Kazakhstan (State Exam),online,practice,Azimbayeva Gulzhan,Schedules_1 course_3 trim
AIB-2503,Thursday,12:00-12:50,"Presentation, Communication & Negotiation",C1.1.226P,practice,Madina Mukaliyeva,Schedules_1 course_3 trim
AIB-2503,Thursday,13:05-13:55,Business Project (Simulation),C1.3.362,practice,Zhanna Zhassulankyzy,Schedules_1 course_3 trim
AIB-2503,Friday,09:00-09:50,History of Kazakhstan (State Exam),C1.2.227P,practice,Azimbayeva Gulzhan,Schedules_1 course_3 trim
AIB-2503,Friday,10:00-10:50,History of Kazakhstan (State Exam),C1.2.227P,practice,Azimbayeva Gulzhan,Schedules_1 course_3 trim
AIB-2503,Friday,11:00-11:50,Political Science,C1.1.253P,practice,Saltanat Zhalmagambetova,Schedules_1 course_3 trim
AIB-2503,Friday,13:05-13:55,History of Kazakhstan (State Exam),online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2503,Friday,14:00-14:50,History of Kazakhstan (State Exam),online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2503,Friday,15:00-15:50,Political Science,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
AIB-2503,Saturday,08:00-08:50,"Governance, Risk and Compliance",C1.1.224P,lecture,Zhuldyz Davletbayeva,Schedules_1 course_3 trim
AIB-2503,Saturday,08:00-08:50,Technology & Innovation Management,C1.2.251L,lecture,Armiyash Nurmagambetova,Schedules_1 course_3 trim
AIB-2503,Saturday,09:00-09:50,"Governance, Risk and Compliance",C1.1.224P,lecture,Zhuldyz Davletbayeva,Schedules_1 course_3 trim
AIB-2503,Saturday,09:00-09:50,Technology & Innovation Management,C1.2.251L,lecture,Armiyash Nurmagambetova,Schedules_1 course_3 trim
AIB-2503,Saturday,12:00-12:50,Technology & Innovation Management,C1.1.347P,practice,Muratov Sayat,Schedules_1 course_3 trim
AIB-2503,Saturday,13:05-13:55,Technology & Innovation Management,C1.1.347P,practice,Muratov Sayat,Schedules_1 course_3 trim
AIB-2503,Saturday,14:00-14:50,Technology & Innovation Management,C1.1.347P,practice,Muratov Sayat,Schedules_1 course_3 trim
AIB-2503,Saturday,15:00-15:50,"Presentation, Communication & Negotiation",C1.1.225P,practice,Madina Mukaliyeva,Schedules_1 course_3 trim
AIB-2503,Saturday,16:00-16:50,"Presentation, Communication & Negotiation",C1.1.225P,practice,Madina Mukaliyeva,Schedules_1 course_3 trim
BDA-2501,Monday,08:00-08:50,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2501,Monday,09:00-09:50,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2501,Tuesday,08:00-08:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2501,Tuesday,09:00-09:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2501,Wednesday,08:00-08:50,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2501,Wednesday,10:00-10:50,Political Science,C1.1.234P,practice,Zhanarstanova Maral,Schedules_1 course_3 trim
BDA-2501,Wednesday,11:00-11:50,Psychology,C1.1.365P,practice,Issakhanova Assel,Schedules_1 course_3 trim
BDA-2501,Wednesday,12:00-12:50,Python Programming,C1.3.366L,lecture,Sadirmekova Zhanna,Schedules_1 course_3 trim
BDA-2501,Wednesday,13:05-13:55,Python Programming,C1.3.366L,lecture,Sadirmekova Zhanna,Schedules_1 course_3 trim
BDA-2501,Thursday,09:00-09:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2501,Thursday,10:00-10:50,Discrete Mathematics,C1.1.328L,lecture,Jankiyeva Botagoz,Schedules_1 course_3 trim
BDA-2501,Thursday,11:00-11:50,Discrete Mathematics,C1.1.328L,lecture,Jankiyeva Botagoz,Schedules_1 course_3 trim
BDA-2501,Thursday,12:00-12:50,Discrete Mathematics,C1.3.254L,practice,Jankiyeva Botagoz,Schedules_1 course_3 trim
BDA-2501,Thursday,13:05-13:55,Discrete Mathematics,C1.3.254L,practice,Jankiyeva Botagoz,Schedules_1 course_3 trim
BDA-2501,Friday,13:05-13:55,Discrete Mathematics,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2501,Friday,14:00-14:50,Algorithms and Data Structures,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2501,Friday,15:00-15:50,Algorithms and Data Structures,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2501,Saturday,14:00-14:50,Political Science,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2501,Saturday,16:00-16:50,Psychology,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2502,Monday,10:00-10:50,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2502,Monday,11:00-11:50,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2502,Tuesday,10:00-10:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2502,Tuesday,11:00-11:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2502,Wednesday,09:00-09:50,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2502,Wednesday,11:00-11:50,Political Science,C1.1.234P,practice,Zhanarstanova Maral,Schedules_1 course_3 trim
BDA-2502,Wednesday,12:00-12:50,Python Programming,C1.3.366L,lecture,Sadirmekova Zhanna,Schedules_1 course_3 trim
BDA-2502,Wednesday,13:05-13:55,Python Programming,C1.3.366L,lecture,Sadirmekova Zhanna,Schedules_1 course_3 trim
BDA-2502,Thursday,08:00-08:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2502,Thursday,09:00-09:50,Psychology,C1.1.365P,practice,Issakhanova Assel,Schedules_1 course_3 trim
BDA-2502,Thursday,10:00-10:50,Discrete Mathematics,C1.1.328L,lecture,Jankiyeva Botagoz,Schedules_1 course_3 trim
BDA-2502,Thursday,11:00-11:50,Discrete Mathematics,C1.1.328L,lecture,Jankiyeva Botagoz,Schedules_1 course_3 trim
BDA-2502,Friday,08:00-08:50,Discrete Mathematics,C1.3.235L,practice,Jankiyeva Botagoz,Schedules_1 course_3 trim
BDA-2502,Friday,09:00-09:50,Discrete Mathematics,C1.3.235L,practice,Jankiyeva Botagoz,Schedules_1 course_3 trim
BDA-2502,Friday,13:05-13:55,Discrete Mathematics,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2502,Friday,14:00-14:50,Algorithms and Data Structures,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2502,Friday,15:00-15:50,Algorithms and Data Structures,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2502,Saturday,14:00-14:50,Political Science,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2502,Saturday,16:00-16:50,Psychology,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2503,Tuesday,08:00-08:50,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2503,Tuesday,09:00-09:50,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2503,Wednesday,08:00-08:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2503,Wednesday,09:00-09:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2503,Wednesday,10:00-10:50,Discrete Mathematics,C1.1.251L,lecture,Duman Adilet,Schedules_1 course_3 trim
BDA-2503,Wednesday,11:00-11:50,Discrete Mathematics,C1.1.251L,lecture,Duman Adilet,Schedules_1 course_3 trim
BDA-2503,Wednesday,12:00-12:50,Python Programming,C1.3.366L,lecture,Sadirmekova Zhanna,Schedules_1 course_3 trim
BDA-2503,Wednesday,13:05-13:55,Python Programming,C1.3.366L,lecture,Sadirmekova Zhanna,Schedules_1 course_3 trim
BDA-2503,Thursday,08:00-08:50,Discrete Mathematics,C1.1.235P,practice,Zhandesh Altyngul,Schedules_1 course_3 trim
BDA-2503,Thursday,09:00-09:50,Discrete Mathematics,C1.1.235P,practice,Zhandesh Altyngul,Schedules_1 course_3 trim
BDA-2503,Thursday,10:00-10:50,Psychology,C1.1.365P,practice,Issakhanova Assel,Schedules_1 course_3 trim
BDA-2503,Friday,08:00-08:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2503,Friday,09:00-09:50,Political Science,C1.1.366P,practice,Zhanarstanova Maral,Schedules_1 course_3 trim
BDA-2503,Friday,11:00-11:50,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2503,Friday,13:05-13:55,Discrete Mathematics,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2503,Friday,14:00-14:50,Algorithms and Data Structures,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2503,Friday,15:00-15:50,Algorithms and Data Structures,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2503,Saturday,14:00-14:50,Political Science,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2503,Saturday,16:00-16:50,Psychology,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2504,Tuesday,10:00-10:50,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2504,Tuesday,11:00-11:50,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2504,Wednesday,10:00-10:50,Discrete Mathematics,C1.1.251L,lecture,Duman Adilet,Schedules_1 course_3 trim
BDA-2504,Wednesday,11:00-11:50,Discrete Mathematics,C1.1.251L,lecture,Duman Adilet,Schedules_1 course_3 trim
BDA-2504,Wednesday,12:00-12:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2504,Wednesday,13:05-13:55,Psychology,C1.1.365P,practice,Issakhanova Assel,Schedules_1 course_3 trim
BDA-2504,Thursday,08:00-08:50,Python Programming,C1.1.251L,lecture,Sadirmekova Zhanna,Schedules_1 course_3 trim
BDA-2504,Thursday,09:00-09:50,Python Programming,C1.1.251L,lecture,Sadirmekova Zhanna,Schedules_1 course_3 trim
BDA-2504,Thursday,10:00-10:50,Discrete Mathematics,C1.1.235P,practice,Zhandesh Altyngul,Schedules_1 course_3 trim
BDA-2504,Thursday,11:00-11:50,Discrete Mathematics,C1.1.235P,practice,Zhandesh Altyngul,Schedules_1 course_3 trim
BDA-2504,Friday,08:00-08:50,Political Science,C1.1.366P,practice,Zhanarstanova Maral,Schedules_1 course_3 trim
BDA-2504,Friday,09:00-09:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2504,Friday,10:00-10:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2504,Friday,12:00-12:50,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2504,Friday,13:05-13:55,Discrete Mathematics,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2504,Friday,14:00-14:50,Algorithms and Data Structures,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2504,Friday,15:00-15:50,Algorithms and Data Structures,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2504,Saturday,14:00-14:50,Political Science,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2504,Saturday,16:00-16:50,Psychology,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2505,Tuesday,12:00-12:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2505,Tuesday,13:05-13:55,Political Science,C1.1.235P,practice,Zhanarstanova Maral,Schedules_1 course_3 trim
BDA-2505,Wednesday,10:00-10:50,Discrete Mathematics,C1.1.251L,lecture,Duman Adilet,Schedules_1 course_3 trim
BDA-2505,Wednesday,11:00-11:50,Discrete Mathematics,C1.1.251L,lecture,Duman Adilet,Schedules_1 course_3 trim
BDA-2505,Wednesday,12:00-12:50,Psychology,C1.1.365P,practice,Issakhanova Assel,Schedules_1 course_3 trim
BDA-2505,Thursday,08:00-08:50,Python Programming,C1.1.251L,lecture,Sadirmekova Zhanna,Schedules_1 course_3 trim
BDA-2505,Thursday,09:00-09:50,Python Programming,C1.1.251L,lecture,Sadirmekova Zhanna,Schedules_1 course_3 trim
BDA-2505,Thursday,10:00-10:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2505,Thursday,11:00-11:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2505,Thursday,12:00-12:50,Discrete Mathematics,C1.1.235P,practice,Zhandesh Altyngul,Schedules_1 course_3 trim
BDA-2505,Thursday,13:05-13:55,Discrete Mathematics,C1.1.235P,practice,Zhandesh Altyngul,Schedules_1 course_3 trim
BDA-2505,Friday,13:05-13:55,Discrete Mathematics,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2505,Friday,14:00-14:50,Algorithms and Data Structures,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2505,Friday,15:00-15:50,Algorithms and Data Structures,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2505,Saturday,11:00-11:50,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2505,Saturday,12:00-12:50,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2505,Saturday,13:05-13:55,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2505,Saturday,14:00-14:50,Political Science,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2505,Saturday,16:00-16:50,Psychology,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2506,Monday,10:00-10:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2506,Monday,11:00-11:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2506,Tuesday,10:00-10:50,Political Science,C1.1.223P,practice,Zhanarstanova Maral,Schedules_1 course_3 trim
BDA-2506,Tuesday,12:00-12:50,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2506,Wednesday,10:00-10:50,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2506,Wednesday,11:00-11:50,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2506,Thursday,08:00-08:50,Python Programming,C1.1.251L,lecture,Sadirmekova Zhanna,Schedules_1 course_3 trim
BDA-2506,Thursday,09:00-09:50,Python Programming,C1.1.251L,lecture,Sadirmekova Zhanna,Schedules_1 course_3 trim
BDA-2506,Thursday,10:00-10:50,Discrete Mathematics,C1.1.251L,lecture,Duman Adilet,Schedules_1 course_3 trim
BDA-2506,Thursday,11:00-11:50,Discrete Mathematics,C1.1.251L,lecture,Duman Adilet,Schedules_1 course_3 trim
BDA-2506,Thursday,12:00-12:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2506,Thursday,13:05-13:55,Psychology,C1.1.365P,practice,Issakhanova Assel,Schedules_1 course_3 trim
BDA-2506,Friday,10:00-10:50,Discrete Mathematics,C1.3.235L,practice,Jankiyeva Botagoz,Schedules_1 course_3 trim
BDA-2506,Friday,11:00-11:50,Discrete Mathematics,C1.3.235L,practice,Jankiyeva Botagoz,Schedules_1 course_3 trim
BDA-2506,Friday,14:00-14:50,Algorithms and Data Structures,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2506,Friday,15:00-15:50,Algorithms and Data Structures,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2506,Saturday,14:00-14:50,Political Science,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2506,Saturday,15:00-15:50,Discrete Mathematics,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2506,Saturday,16:00-16:50,Psychology,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
BDA-2507,Tuesday,11:00-11:50,Political Science,C1.1.223P,practice,Zhanarstanova Maral,Schedules_1 course_3 trim
BDA-2507,Tuesday,13:05-13:55,Algorithms and Data Structures,IEC-307,practice,Usserbayeva Gulfiya,Schedules_1 course_3 trim
BDA-2507,Wednesday,10:00-10:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2507,Wednesday,11:00-11:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2507,Thursday,10:00-10:50,Discrete Mathematics,C1.1.251L,lecture,Duman Adilet,Schedules_1 course_3 trim
BDA-2507,Thursday,11:00-11:50,Discrete Mathematics,C1.1.251L,lecture,Duman Adilet,Schedules_1 course_3 trim
BDA-2507,Thursday,12:00-12:50,Psychology,C1.1.365P,practice,Issakhanova Assel,Schedules_1 course_3 trim
BDA-2507,Friday,09:00-09:50,Python Programming,C1.1.251L,lecture,Sadirmekova Zhanna,Schedules_1 course_3 trim
BDA-2507,Friday,10:00-10:50,Python Programming,C1.1.251L,lecture,Sadirmekova Zhanna,Schedules_1 course_3 trim
BDA-2507,Friday,11:00-11:50,Python Programming,C1.2.223K,practice,Syrym Sabyrzhan,Schedules_1 course_3 trim
BDA-2507,Friday,12:00-12:50,Discrete Mathematics,C1.3.235L,practice,Jankiyeva Botagoz,Schedules_1 course_3 trim
BDA-2507,Friday,13:05-13:55,Discrete Mathematics,C1.3.235L,practice,Jankiyeva Botagoz,Schedules_1 course_3 trim
BDA-2507,Friday,14:00-14:50,Algorithms and Data Structures,online,lecture,https://learn.astanait.edu.kz/,Schedules_1 course_3 trim
